variant,seed,rid,top1,rr
tfidf,54,21,0.0,0.5
tfidf,54,23,1.0,1.0
tfidf,54,24,1.0,1.0
tfidf,54,28,1.0,1.0
tfidf,54,38,0.0,0.0
tfidf,54,40,0.0,0.0
tfidf,54,46,0.0,0.0
tfidf,54,60,0.0,0.0
tfidf,54,61,0.0,0.3333333333333333
tfidf,54,63,0.0,0.5
tfidf,54,64,1.0,1.0
tfidf,54,67,0.0,0.25
tfidf,54,68,0.0,0.0
tfidf,54,75,1.0,1.0
tfidf,54,76,1.0,1.0
tfidf,54,85,1.0,1.0
tfidf,54,87,0.0,0.25
tfidf,54,95,0.0,0.0
tfidf,54,100,1.0,1.0
tfidf,55,3,1.0,1.0
tfidf,55,7,1.0,1.0
tfidf,55,10,1.0,1.0
tfidf,55,17,0.0,0.5
tfidf,55,18,1.0,1.0
tfidf,55,28,1.0,1.0
tfidf,55,43,0.0,0.0
tfidf,55,44,1.0,1.0
tfidf,55,45,0.0,0.0
tfidf,55,46,0.0,0.0
tfidf,55,47,1.0,1.0
tfidf,55,50,1.0,1.0
tfidf,55,53,0.0,0.0
tfidf,55,69,0.0,0.2
tfidf,55,72,1.0,1.0
tfidf,55,81,0.0,0.0
tfidf,55,82,0.0,0.0
tfidf,55,84,1.0,1.0
tfidf,55,86,0.0,0.0
tfidf,55,93,0.0,0.25
tfidf,55,104,0.0,0.3333333333333333
tfidf,56,1,0.0,0.0
tfidf,56,8,1.0,1.0
tfidf,56,14,1.0,1.0
tfidf,56,18,1.0,1.0
tfidf,56,24,1.0,1.0
tfidf,56,28,1.0,1.0
tfidf,56,30,1.0,1.0
tfidf,56,34,0.0,0.0
tfidf,56,35,0.0,0.0
tfidf,56,44,1.0,1.0
tfidf,56,46,0.0,0.0
tfidf,56,52,0.0,0.0
tfidf,56,58,1.0,1.0
tfidf,56,67,0.0,0.25
tfidf,56,70,1.0,1.0
tfidf,56,75,1.0,1.0
tfidf,56,83,0.0,0.0
tfidf,56,87,0.0,0.25
tfidf,56,89,0.0,0.0
tfidf,56,97,1.0,1.0
tfidf,56,105,0.0,0.0
tfidf,57,4,0.0,0.3333333333333333
tfidf,57,21,0.0,0.5
tfidf,57,23,1.0,1.0
tfidf,57,24,1.0,1.0
tfidf,57,26,0.0,0.3333333333333333
tfidf,57,28,1.0,1.0
tfidf,57,29,1.0,1.0
tfidf,57,30,1.0,1.0
tfidf,57,31,1.0,1.0
tfidf,57,37,0.0,0.5
tfidf,57,46,0.0,0.0
tfidf,57,48,1.0,1.0
tfidf,57,55,1.0,1.0
tfidf,57,72,1.0,1.0
tfidf,57,74,1.0,1.0
tfidf,57,79,0.0,0.0
tfidf,57,80,0.0,0.3333333333333333
tfidf,57,89,0.0,0.0
tfidf,57,91,0.0,0.3333333333333333
tfidf,57,97,1.0,1.0
